"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"Roads to Koktebel (Koktebel) (2003)","Directed by Boris Khlebnikov & Aleksei Popogrebskii. Cast: Igor Chernevich, Gleb Puskepalis, Agirppina Steklova, Alexandr Ilyin, Vladimir Kucherenko, Evgeny Syty. A father sets off from Moscow with his 11-year-old son for his sister's house in Koktebel by the Black Sea. With no money, nor means of transportation, they drift through the expansive and mesmeric landscapes at the mercy of chance. For the father, the journey is an attempt to restore self-respect and win back the trust of his son. For the boy, the mythic coastal town holds the key to a new life. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6338"">DVD 6338Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0372366/"">Credits and other information from the Internet Movie DatabaseЖ"
"Russian Ark (Russkiy kovcheg) (2002)","Directed by Alexander Sokurov. A modern filmmaker magically finds himself transported to the 18th century where he embarks on a time-traveling journey through 300 years of Russian history. Notable as the longest uninterrupted shot in film history and the first feature film ever created in a single take. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1926"">DVD 1926Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0318034/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#ark"">See separate bibliography of reviews and articles about this filmЖ"
"Russian Idea.","The term ""The Russian Idea"" is used to describe a desire for revolution, to create a utopia. In this film director Sergei Selyanov attempts to prove that 'our national films' that have become part of the world culture are connected with 'The Russian Idea' in one way or the other, using clips from the films of Eisenstein, Pudovkin and Vertov. 53 min. 1999. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM445"">Video/C MM445Ж"
"The Sacrifice (Offret) (1986)","Directed by Andrei Tarkovsky. Featuring Erland Josephson, Susan Fleetwood, Allan Edwall. A dark and complex drama about redemption and the nuclear holocaust. When a middle aged intellectual in retirement on an island in the Baltic Seas witnesses signs of what he believes to be a nuclear holocaust, he offers to make the ultimate sacrifice in return for the salvation of mankind. 145 min.","Also includes: ""Directed by Andrei Tarkovsky"" (Zapechatlennoe vremia), 1988, by Michal Leszczylowski. This film shows the director Andre Tarkovsky in action as he makes his own picture ""The Sacrifice."" The program explains the motivation behind the film and contains illuminatin of Tarkovsky's working methods and style and how he overcame various technical problems during the film-making. Includes interviews with members of the cast and crew. 101 min. (246 min. total running time.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+200"">DVD 200Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0091670"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards
â€¢149;British Academy of Film and Television Arts Awards - Best Foreign-language Film
â€¢149;Cannes Film Festival - Grand Prize of the Jury; FIPRESCI Prize; Prize of the Ecumenical Jury



Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sacrifice"">See separate bibliography of reviews and articles about this filmЖ"
"The Second Circle (Krug vtoroy) (1990)","Directed by Aleksandr Sokurov. Cast: Petr Aleksandrov, Nadezhda Rodnova, Tamara Timofeeva, Aleksandr Bystriakov. In a remote Siberian village, an anonymous young man emerges from a blizzard to claim his late father's body. He tries to come to terms with his father's death and to deal with the mundane details of his burial in a society cut off from spirituality. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4277"">DVD X4277Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0100563/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"Sergei Eisenstein, Autobiography.","Based on Eisenstein's memoirs, this autobiographical film reflects the inner world of the great Russian film director during the tragic years of two Russian revolutions and the Stalin terror. The film follows Eisenstein on a long voyage abroad which he started in 1929, and presents transformed episodes from Eisenstein's films and his contemporaries, as well as rare archival shots of Eisenstein himself presented with a soundtrack of his reminiscences, which are sometimes very personal. 1996. 92 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7059"">Video/C 7059Ж"
"Sergei Eisenstein Mexican Fantasy (Meksikanskaya fantasiya)Ж(Russia, 1998)","Directed by Oleg Kovalov. Left unfinished by Eisenstein, the film (originally to be titled: Que viva Mexico and produced in 1938)) was highly structured, and was to consist of four ""novellas"" or ""scenarios"" plus a prologue and epilogue. The precise order and content of these episodes was constantly changing, but the overall film would trace the history of Mexico from precolonial times through Spanish conquest to contemporary times. Each episode has its own distinct style, is dedicated to a different Mexican artist, and also bases itself on some primal element (stone, water, iron, fire, air). The soundtrack in each case features a different Mexican folk song. A very rare film, this is not a re-working by another filmmaker, but the original film itself. 100 min. 

See also:
â€¢149;Ѭ href=""#fantasy"">ЖѬ href=""#viva"">¿Que Viva Mexico!¿Ж

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6482"">DVD X6482Ж"
"Siberiade. (1979)","Directed by A. Mikhalkov-Konchalovsky. Cast: Lyudmilla Gurchenko, Natalia Andreichenko, Nikita Mikhalkov, Vitaly Solomin, Vladimir Samoilov, Igor Okhlupin. An epic romantic drama about three generations of two feuding Russian families, the rich Solomins and the poor Ustyuzhanins, of a rural Siberian village. The film spans more than six decades of Russian history encompassing the Bolshevik Revolution, two World Wars and the era of modernization in which the village is threatened by petroleum exploration. Through their multi-generational conflicts and alliances, the film dramatizes the evolution of the Russian people, bound together by the common struggle for survival and faithfulness to the motherland. 206 min. (2 tapes) ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3979"">DVD X3979Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2058"">vhs 999:2058Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079907/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=c08a0dde-de10-4921-8d86-202dd83dae93"">View this video online (Part I)Ж
â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=96b2db39-f402-4f74-82e1-de9afcc1662a"">View this video online (Part II)Ж

â€¢149;Awards
â€¢149;Cannes Film Festival - Special Jury Prize


"
"Sibirskiy tsiryulnik. (Russia / France / Italy / Czech Republic, 1998)","Directed by A. Nikita Mikhalkov. A foreign entrepreneur ventures to Russia in 1885 with dreams of selling a new experimental steam-driven harvester in the wilds of Siberia. Julia Ormond portrays his assistant, who falls in love with a young Russian officer, and spends the next 10 years perfecting the harvester and pursuing her love, who has been exiled to Siberia. 180 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8988"">DVD 8988Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120125/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"A Slave of Love (Raba lyubvi)(1976)","Directed by Nikita Mikhalkov. Cast: Elena Solovei, Rodion Nakhapetov, Aleksandr Kaliagin, Oleg Basilashvili. During the Russian civil war, a Moscow film crew has gathered in the Crimea. The leading actress, Olga, contemplates the revolutionary situation, and after viewing a newsreel of White Army atrocities chooses to return to Bolshevik-controlled Moscow. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4649"">DVD X4649Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0075119/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Neuberger, Joan. ""Between public and private: revolution and melodrama in Nikita Mikhalkov's Slave of love."" In: Imitations of life : two centuries of melodrama in Russia Edited by Louise McReynolds and Joan Neuberger. Durham [N.C.] : Duke University Press, 2002. (Main Stack PG3089.M44.I53 2002)




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ

"
"Solaris (Solyaris) (1972)","Directed by Andrei Tarkovsky. Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. On the water planet Solaris human space explorers encounter a unique and radical intelligence. Contact between man and this entity stretches the limits of reason and insanity, knowledge and comprehension. Based on the novel by Stanislaw Lem (PG7158.L39 S6 Main Stack, Moffitt; PG7158.L39 S613 1970a Main Stack) 167 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6406"">DVD 6406Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:850"">vhs 999:850Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0069293/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=1f347801-b486-4d48-832e-acd20023b2f6"">View this video onlineЖ

â€¢149;Awards
â€¢149;Cannes Film Festival - Grand Prize of the Jury; FIPRESCI Prize; Prize of the Ecumenical Jury

","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#solaris"">See separate bibliography of reviews and articles about this filmЖ"
"Spiritual Voices (Dukhovnye golosa. Iz dnevnikov voyny. Povestvovanie v pyati chastyakh) (Russia, 1995)","Directed by Aleksandr Sokurov. Documentary. In 1994, Alexander Sokurov accompanied Russian troops assigned to a frontier military post at the Tajikistan/Afghanistan border to film their experiences. While unnamed tribal forces occasionally engaged the troops in skirmishes, Sokurov's haunting documentary chronicles the downtime between activity. He effectively captures what it is like to be there as a Russian soldier -- the isolation, the mood of futility that afflicts the troops, and the harsh environment. 340 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2634"">DVD X2634Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0112911/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"Stalker (1979)","Directed by Andrei Tarkovsky. At the center of an outlawed region called The Zone lies a mystical room altered by unnatural forces. Armed guards are the first in a series of lethal obstructions that prevent outsiders from reaching the place where fantastic powers can fulfill one's greatest desires. Only the Stalker can lead a scientist and writer through The Zone where an obstacle course of mental and physical barriers tests the limits of their endurance. At the end they must face a room where the center of power and evil confronts them and the future of mankind. 163 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2138"">DVD 2138Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0079944/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=e4abfea8-c639-4553-9202-9d96e9bb830d"">View this video onlineЖ

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#tarkovsky"">Andrei Tarkovsky bibliographyЖ

"
"The Steamroller and the Violin (Katok i Skripka)(1960)","Directed by Andrei Tarkovsky. Cast: Igor Fomchenko, Vladimir Zamansky, N. Arhangelskaya. At the center of the film is the unlikely friendship between Sasha, a young boy who loves to play the violin, and Sergey, the macho driver of a steamroller. The film sidesteps sentimentality to give us a warm yet ironic look at two individuals who bridge differences in generations to form a powerful bond. From a story by S. Bakhmetyeva. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1677"">DVD X1677Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0053987/"">Credits and other information from the Internet Movie DatabaseЖ"
"The Sun (Solntse) (Russia | Italy | Switzerland | France, 2004)","Directed by Alexander Sokurov. Cast: Issey Ogata, Robert Dawson, Kaori Momoi, Shiro Sano. A dramatization of the events leading up to Emperor Hirohito's momentous speech after Japan has lost the war, the historic renunciation of his divine status, and his meetings with General Douglas MacArthur, the commander-in-chief of the occupying American forces, who advises his own president not to declare the Japanese leader a war criminal. Special features: production notes by Alexander Sokurov; theatrical trailer; stills gallery. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3877"">DVD X3877Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0439817/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ


"
"There Once Was a Singing Blackbird (Iko shashvi mgalobeli; Il etait une fois un merle chanteur) (1970)","Director, Otar Iosseliani. Cast: Gela Kandelaki, Gogi Chkheidze, Jansug Kakhidze, Irine Jandieri, Elene Landia, I. Mdivani. Guy Agladze resides in a large city and plays in an orchestra. Guy has a number of friends and acquaintances. His days are hectic and busy. He has to manage too much and he is always late. His time, his energy, his talents evaporate in the hassle of the day and among the little things to be done. Guy dies in an accident without having managed to note down the music that his soul was playing in the rare moments of his solitude. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4448"">DVD 4448Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0151035/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Lopate, Phillip . ""Georgia on My Mind."" Film Comment. New York: Jan/Feb 2005. Vol. 41, Iss. 1; pg. 56, 6 pgs Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00308867"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Quintin. ""The man who loved birds."" Cinema Scope; Fall2006 Issue 28, p17-19, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=22519758&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Shatirishvili, Zaza. ""The montage of Tbilisi culture."" Film International 2006, Vol. 4 Issue 23, p48-51, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=23122056&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ"
