"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Out in Silence","Filmmaker Joe Wilson returns to his hometown of Oil City, Pa., after the appearance of his same-sex wedding announcement in his small hometown newspaper causes controversy, and he receives a plea for help from the mother of a gay teen who is being tormented in school. Wilson's journey dramatically illustrates the universal challenges of being an outsider in a conservative environment and the transformation that is possible when those who have long been constrained by a traditional code of silence summon the courage to break it. Directed by Joe Wilson and Dean Hamer. 2009. 56 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4242"">DVD X4242Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out in the Garden.","A film by Vincent Grenier. An extraordinary film which explores the dynamic of assumptions, seen through the struggle of a gay man who has recently been told that he is HIV positive. In his own way he comes to terms with the news in front of Grenier's camera. The result is a film which examines our own complicity in this struggle. 1991. 15 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2693"">Video/C 2693Ж","â€¢149;National Educational Film & Video Festival 1992 (Bronze Apple)
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out in the Open","This documentary seeks, once and for all, to destroy misconceptions, fears, and myths about the LGBTQ community. The film is geared toward at-risk youth across the world, as well as their families, friends, and teachers. Featuring interviews with celebrities, politicians, and everyday allies who openly embrace the LGBTQ community, it asserts that no single person is the same and that all people should be celebrated.. 2013. 88 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X9156"">DVD X9156Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out Late","Five individuals make the courageous and life-altering decision to come out as a lesbian, gay, or transgender, after the age of 55. Why did they wait so long to come out? And what was the turning point that caused each of them to openly declare their sexuality? Directed by Beatrice Alda and Jennifer Brooke. 2008. 62 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7145"">DVD X7145Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out of the Past: The Struggle for Gay and Lesbian Rights in America","Reviews the struggle for lesbian and gay rights in the United States, citing historical figures whose sexuality has been ignored in history and who could have been inspirational role models for young people today. Also tells the story of Kelli Peterson, a high school student in Salt Lake City, Utah, and her struggle to cope with being lesbian in a sometimes hostile society and to establish a Gay-Straight Alliance club at East High School in Salt Lake City. Directed and produced by Jeff Dupree. 1997. 65 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4010"">DVD X4010Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6623"">Video/C 6623Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out: Stories of Lesbian and Gay Youth.","Records the personal stories of gay and lesbian youth who are faced with social isolation, rejection by family and peers and the threat of homophobic violence, yet despite the odds are able to make it through and get on with their lives. c1994. 43 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3964"">Video/C 3964Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Outlaw","An interview with Leslie Feinberg, author of Stone butch blues, an account of a working-class lesbian who passes as a man. Feinberg who has spent much of her own life passing as a man speaks with passion and intelligence about her experiences, calling for more sensitivity for the human rights and dignity of transgendered people. A videotape by Alisa Lebow. c1994. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9128"">Video/C 9128Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc214"">s/c214Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Outrage","An indictment of closeted politicians who lobby for anti-gay legislation while leading secret lives, the double standards the media sets for these politicians, and the harm inflicted. Includes analysis from Congressman Barney Frank, former New Jersey Governor Jim McGreevey, activist Larry Kramer, and others. Written and directed by Kirby Dick. Special features: Commentary with Kirby Dick & Amy Ziering, deleted scenes, Rodger McFarlane tribute, Tribeca Film Festival panel Q & A, director Q & A at Washington, D.C. screening. 2009. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2783"">DVD X2783Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Paris is Burning.Ж","A film by Jennie Livingston. Story of the young men of Harlem who originated ""voguing"" and turned these stylized dance competitions into glittering expressions of fierce personal pride. A story of street-wise urban survival, gay self-affirmation, and the pursuit of a desperate dream. 1992. 76 min.  
â€¢149;Awards","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4430"">DVD 4430Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3211"">Video/C 3211Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Berlin International Film Festival - Best Documentary","â€¢149;International Documentary Association","â€¢149;Los Angeles Film Critics Association Awards - Best Documentary","â€¢149;National Society of Film Critics Awards, USA - Best Documentary","â€¢149;New York Film Critics Circle Awards - Best Documentary","â€¢149;San Francisco International Lesbian & Gay Film Festival - Best Documentary","â€¢149;Sundance Film Festival - Grand Jury Prize","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"See also:","â€¢149; Interview with Jennie Livingston in Ѭ href=""#lavender"">Lavender LimelightЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Paris Was a Woman.","Through a combination of still photos, archival film footage, and interview commentary this film documents the creative community of French, English and American women, many of whom were lesbians, who gravitated to the Left Bank in Paris during the early part of the 20th century. Originally produced as motion picture in 1995. In Directed by Greta Schiller. 1995. 75 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3039"">DVD X3039Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6126"">Video/C 6126Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Paul Monette: The Brink of Summer's End","This biographical documentary which was shot over three and a half years, explores Paul's life and work from his seemingly idyllic New England boyhood, and his closeted adolescence to his development into a successful writer, committed gay activist, until his death from AIDS in February, 1995. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6042"">Video/C 6042Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Association Video Round Table: Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The People vs. Dan White","A re-enactment of events surrounding the trial of Dan White, a former member of the San Francisco Board of Supervisors, who killed San Francisco mayor, George Moscone and supervisor, Harvey Milk, on November 27, 1978. Charged with first degree murder, White was found guilty of voluntary manslaughter. 1983. 92 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6898"">DVD X6898Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3798"">Video/C 3798Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Pirated","Using a nonlinear ""pirated television"" editing technique the filmmaker recounts his escape from Vietnam as a child complete with capture by pirates and rescue by West German sailors and reveals the impact events played in developing his sexual identity. A film by Nguyen Tan Hoang. 2000. 11 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5123"">DVD 5123Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Potluck and the Passion","Directed by Cheryl Dunye. Sparks fly as racial, sexual and social politics intermingle at a lesbian potluck. 1993. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2485"">DVD X2485Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Pride, Prejudice and Gay Politics (1982).","Reporter/producer Spencer Michels examines gay politics in San Francisco and looks at the future of gay politics both inside and outside the city. 3/4 in. 1982. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+374"">Video/C 374Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"La pudeur ou limpudeur","At the request of French television, the writer-photographer Herve Guibert filmed this video self-portrait chronicling the grim impact of AIDS on his life. With a dispassionate eye, he compares the decay of his body with the bodily disintegration of old age. c1991. 58 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9897"">DVD 9897Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM409"">Video/C MM409Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Queens at Heart","A short film that introduces viewers to Misty, Vicky, Sonja, and Simone, four transvestites living in New York. 1965. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X238"">DVD X238Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Queer Geography: Mapping Our Identities: Detailing the Experiences of Four Queer Youth","Co-produced by two high school students, this documentary explores the lives of four gay youth, ages 16-20, examining such issues as sexual orientation, coming out, family life and dealing with being ""out"" in school. The film also addresses the role of community organizations in the lives of lesbian, gay, bisexual and transgender youth of today. Ѭ href=""http://www.frameline.org"">FramelineЖ. 2001. 12 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8144"">Video/C 8144Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Queer Icon: The Cult of Bette Davis","Examines the many aspects of the gay fascination with Bette Davis, featuring filmclips of Bette's most iconic moments, juxtaposed with camp burlesques of her by Matthew Martin and others, including Charles Pierce and Arthur Blake; a profile of Martin highlighting his long identification with Davis; and interviews with fans, entertainers, and gay cultural historians. 2008. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2628"">DVD X2628Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Question of Equality: Gay and Lesbian Struggle Since Stonewall.","Contents: pt. 1. Out Rage '69 / produced, directed, and written by Arthur Dong -- pt. 2. Culture Wars / produced, directed, and edited by Tina DiFeliciantonio & Jane C. Wagner -- pt. 3. Hollow Liberty / directed by Robyn Hutt; produced by Robyn Hutt & Bennett Singer -- pt. 4. Generation ""Q"" / produced & directed by Robert Byrd. Using a mix of rarely seen archival footage, live action sequences, and personal interviews, this film series presents a comprehensive view of the gay liberation movement in the United States. Based on the book ""Question of Equality"" ( UCB Law Lib KF4754.5 .Q47 1995; UCB Main HQ76.8.U5 Q47 1995; UCB Moffitt HQ76.8.U5 Q47 1995) 4 videocassettes (ca. 55 min. each) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4365"">Video/C 4365Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/QofE.MOV"">Video clip from Question of EqualityЖ (via ITVS)","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#equality"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Radical Harmonies","""Woodstock Meets Women's Liberation in a film about a movement that explodes the gender barriers in music."" A documentary on the history of the women's music movement. With festival and concert footage, interviews & archival material, the film delves into the rich history of women creating a cultural life based in a commitment to diversity, feminism and women loving women. Features foremothers of women's music (Cris, Holly, Margie, Meg and more) and today's ""new women's music"" artists Ani Difranco, Melissa Ferrick, Bitch and Animal and more. c2002. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2371"">DVD 2371Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Rainbow's End.","A multinational journey throughout Europe and the world, exploring the future of lesbian, gay, bi and transgender people. From parades and protests in Warsaw and Krakow to personal stories with social, religious and political insights, the film moves from street activism to the United Nations in Geneva. Dist. Ѭ href=""http://www.frameline.org/"">FramelineЖ. 2006. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6250"">DVD 6250Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
