"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"See also:","â€¢149; Danto, Arthur C. ""TV and Video.""(television art and video art)(Cover Story)(Column) Nation v261, n7 (Sept 11, 1995):248 (6 pages)","â€¢149; Mellencamp, Patricia. ""The Old and the New: Nam June Paik."" Art Journal v54, n4 (Winter, 1995):41 (7 pages).","â€¢149; Nam June Paik / John G. Hanhardt; with essays by Dieter Ronte ... [et al.]. New York: Whitney Museum of American Art in association with W.W. Norton, c1982. (UCB Main PN1992.8.V5 N3 1982)","â€¢149; Nam June Paik: Video Sculptures. [Copenhagen, Denmark] : Statens Museum for Kunst, 1996. (UCB Main N7369.P35 A4 1996)","â€¢149; Paik, Nam June. Nam June Paik: Video Time, Video Space / herausgegeben von Toni Stooss und Thomas Kellein. Ostfildern-Ruit bei Stuttgart : Edition Cantz, c1991. (UCB Main N7369.P25 A4 1991; UCB Moffitt N7369.P35 A4 1993)","â€¢149; Silver, Kenneth E. ""Nam June Paik: Video's Body."" Art in America v81, n11 (Nov, 1993):100 (8 pages).","â€¢149;Nam June Paik"
"26'1.1499"" for String Player","Jud Yalkut's video realization of Charlotte Moorman and Nam June Paik's concert performance of John Cage's compositon 26'1.1499"" for String Player. In this extraordinary performance, which is manipulated and synthesized by Yalkut, Paik and Moorman, they play Cage's score on a collection of ""instruments"" that include a pistol, a dish of mushrooms, balloons, a practice aerial bomb, and a telephone call to President Nixon. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1051"">Video/C MM1051Ж","â€¢149;Nam June Paik"
"Allan 'n' Allen's Complaint.","The influence of Jewish fathers on their sons and the complexity of familial relationships are explored in this witty, poignant portrait of two artists and their fathers. Beat poet, Allen Ginsberg, and performance artist/sculptor, Allan Kaprow, are the sons who struggle with and against the influences of these patriarchal figures. In this playful, often moving portrait of fathers and sons, the video artists Paik and Kubota subject their content to irreverent temporal, spatial and visual transformations: images multiply and proliferate, time is accelerated or slowed, and the audio is de-synchronized. 1982. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4679"">Video/C 4679Ж","â€¢149;Nam June Paik"
"Film Video Works #3.","Contents: Electronic moon, parts 2 and 3 (1967-69, 3 min., sd., b&w and col.) -- Missa of Zen (1967, 3 min, si., b&w and col.) Video art by Nam June Paik and Jud Yalkut recorded between 1967 and 1960, revealing some of Paik's earliest experiments with television and electronic imagery. In Electronic Moon, colorized images of the moon are accompanied by Glenn Miller's Moonlight Serenade. In Missa of Zen, a TV screen, filmed from an extremely oblique angle, appears as a ghostly sliver at the side of a darkened frame. Isolated in silence and darkness, the TV set slips into the realm of the ""unheimlich."" Situating mediated America at the crossroads of ""missa"" (Christian mass) and Zen Buddhism, Paik highlights the connnections between mass culture and the transcendental. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1052"">Video/C MM1052Ж","â€¢149;Nam June Paik"
"Nam June Paik: Avant Garde Harvest.","This documentary discusses the technology as well as the techniques that Nam June Paik uses in his work. Includes collaborations with Laurie Anderson, Allen Ginsberg, Merce Cunningham and Joseph Beuys as well as interviews with Paik himself. 1987. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3400"">Video/C 3400Ж","â€¢149;Nam June Paik"
"Nam June Paik: Lessons from the Video Master","Short recollections and statements from many people who knew video artist Nam June Paik and who were influenced by the man and his work, including artists, curators, academics, collaborators, colleagues, friends and family. Many of those interviewed are early video artists. Includes a video-within-a-video performance by Yoko Ono at the Guggenheim Museum in honor of Paik. Featurette video recorded at a memorial and reception for Nam June Paik in New York City on February 3rd, 2006. Additional interviews for the Bonus video were recorded at various locations and events in the months that followed. #1 video artist is a 9 min. version of the featurette. Special features: Skip Blumberg biography, videomaker's statement and references to video art websites. Featurette (47 min.) -- Bonus art video (37 min.) -- #1 video artist (9 min.) Produced and directed by Skip Blumberg. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8897"">DVD 8897Ж","â€¢149;Nam June Paik"
"Play It Again, Nam!","A documentary biography of multimedia artist Nam June Paik. Paik plays with images and mixes them up to create another image; he plays endlessly with keyboards, musical or image-enhancing. Artist, engineer, musician of images, he is interested in everything--reception, technology and theory. Included here is an overview of his early work, as well as an examination of his most recent artistic endeavors. 1995. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6146"">Video/C 6146Ж","â€¢149;Nam June Paik"
"Rare Performance Documents","Ranging in length from 2 to 8 minutes, these performances are from Nam June Paik's personal archives and date from 1961-1994. Many include collaborations with Charlotte Moorman. Vol. 1: Performance documentation, Aachen, Germany (1965) -- Charlotte Moorman at the Howard Wise Gallery (1969) -- TV bed, the Everson Museum of Art (1972) -- TV cello performance (1973) -- Waiting for commercial (performance, 1972) -- New television workshop performance (1917) -- Vol. 2: Hand and face (1961) -- Fluxus sonata at Anthology Film Archives (1975) -- Violin dragging, Brooklyn, NY (1975) -- Tribute to GM (aka Video Venus) (1978) -- Nam June Paik with The Bad Brains (1991) -- Evening with Nam June Paik at the Kitchen (1994) Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1050"">Video/C MM1050Ж","â€¢149;Nam June Paik"
"Strange Music of Nam June Paik","Contents: Global groove -- Medium is the medium -- Paik meets Beethoven.
Presents Nam June Paik's performance and video art with Charlotte Moorman, John Cage's music and performance. 1975. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5306"">Video/C 5306Ж","â€¢149;Nam June Paik"
"TV as a Creative Medium","In May of 1969, the Howard Wise Gallery in New York presented TV as a Creative Medium, the first exhibition in the United States devoted entirely to video as a form of art. Schneider recorded this historical document of the landmark exhibition. Soon after the exhibition Howard Wise closed his gallery and in 1971 founded Electronic Arts Intermix, a nonprofit organization dedicated to the support of video as a means of creative expression. Nam June Paik's Participation TV -- Paul Ryan's Everyman's Mobius Strip -- Thomas Tadlock's Archetron -- Eric Siegel's Psychedelevision in Color -- Charlotte Moorman's first performance of Paik's TV Bra For Living Sculpture -- Ira Schneider's collaboration with Frank Gillette on the installation Wipe Cycle. Dist.: Ѭ href=""http://eai.org/eai/"">Electronic Arts Intermix.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7687"">DVD 7687Ж","â€¢149;Nam June Paik"
"Video-film Concert","Video art by Nam June Paik and Jud Yalkut. ""Recorded between 1967 and 1972, these ""video-films"" reveal insights into the evolution of Paik's work in video, performance and installation, and are among the earliest explorations of the interfacing of film and video."" Video tape study no. 3 / sound: David Behrman & Kenneth Lerner -- Beatles electroniques / sound, Ken Werner -- Electronic moon no. 2 / sound, Debussy -- Electronic fables -- Waiting for commercials -- Electronic yoga / music by K.S. Narayanaswami. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1049"">Video/C MM1049Ж","â€¢149;Nam June Paik"
"Video Synthesizer and TV Cello Collectibles: 1965-1971","Contents: Early TV experiments (1965-1968) / Nam June Paik -- Video commune (Beatles from beginning to end) / Nam June Paik -- TV cello premiere / Nam June Paik. Filmed by Jud Yalkut. Charlotte Moorman, TV cello. Charlotte Moorman, TV cello. Video commune filmed in 1970; TV cello premiere filmed in 1971 at the Bonino Gallery in New York City. These rare early collaborative works by Nam June Paik and Jud Yalkut are historically significant as well as remarkably prescient. Recorded between 1965 and 1971, these 'video-films' reveal insights into the evolution of Paik's work and are among the earliest explorations of the interfacing of film and video. Video Commune is Jud Yalkut's documentation of Paik's first interactive television ""performance"" and also marks the debut of the Paik/Abe Video Synthesizer. The images were generated directly from the synthesizer and mixed with prerecorded Japanese TV commercials with Beatles music. TV cello Premiere is a silent film of Charlotte Moorman in her first performance on Paik's ""TV cello,"" in 1971. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1053"">Video/C MM1053Ж","â€¢149;Nam June Paik"
"See also:"
"Cut piece: A Video Homage to Yoko Ono","A film by Lynn Hershman. Cut piece is a performance piece originally written and performed by Yoko Ono in 1964. In this video recreation three female performers dressed in fine party dress kneel in center stage and place a pair a scissors in front of themselves. Members of the audience come up on stage and begin to cut pieces of the performer's clothing. This continues until a performer says stop or until there isn't any more cloth to cut. 16 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2735"">Video/C 2735Ж","See also:","â€¢149;Yoko Ono"
"â€¢149; Ѭ href=""#hestands"">He Stands in a DesertЖ (Jonas Mekas)","â€¢149; Ѭ href=""#misfits"">The Misfits: 30 Years of FluxusЖ","â€¢149;Ѭ href=""#cage"">John Cage: I Have Nothing to Say and I Am Saying ItЖ","â€¢149;Yoko Ono"
"Open Score","Film of a performance orchestrated by Robert Rauschenberg at the 69th Regiment Armory in New York, Oct. 14, 1966, featuring a tennis match presented as a dance sequence with FM transmitters imbedded in the racket handles. Produced by Experiments in Art and Technology and ARTPIX. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8824"">DVD 8824Ж","â€¢149;Robert RauschenbergЖ"
"Claes Oldenburg: The Formative Years","The film begins and ends with sculptor Claes Oldenburg attending one of his favorite events, the Macy's Thanksgiving Day Parade. Oldenburg discusses his sources of inspiration and his work as he enjoys the inflated balloons, so suggestive of the exaggerated qualities of his own art. The film follows the progress of a commissioned outdoor sculpture, a colosssal baseball mitt. Also includes rare footage of his 1959 ""Happenings"" offering insight into his irreverent beginnings and artistic adventures. 2001. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9106"">Video/C 9106Ж","â€¢149;Ray GunЖ Theater"
"Happenings: Ray Gun Theater 1962.","Contents: Store days I, II -- Nekropolis I, II -- Injun I, II -- Voyages I, II -- World's fair I, II.
Ray Gun Theater, a series of ten Happenings, took place in Claes Oldenburg's studio on East Second Street in New York City between February and May 1962. 116 min. 

Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9098"">Video/C 9098Ж","â€¢149;Ray GunЖ Theater"
"Born to Be Sold: Martha Rosler Reads The Strange Case of Baby M.","Martha Rosler discusses the social and economic implications of surrogate motherhood, using excerpts and quotations from media reports and court records of the Mary Beth Whitehead/Baby M case. 1988. 35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3082"">Video/C 3082Ж","â€¢149;Martha Rosler"
"Losing: A Conversation with the Parents.","This distanced narrative, which approximates a soap opera or a TV interview of bereaved relatives of a victim, confronts two means by which food is used as a weapon: the internalized oppression of self-starvation (anorexia nervosa), and starvation because of poverty and economic domination. Rosler exposes underlying social realities from starvation in Third World countries to the phenomenon of dieting and starvation to create an ideal female self in contemporay American culture. 1977. 20 min.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5151"">Video/C 5151Ж","â€¢149;Martha Rosler"
"Martha Rosler Reads Vogue.","As Rosler leafs through the Vogue Magazine, the ads and the feature articles become indistinguishable. Her axaggerated parody of television commercials for elegant products gradually shifts to direct criticism. 1982. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2193"">Video/C 2193Ж","â€¢149;Martha Rosler"
"Semiotics of the Kitchen.","In this visual art piece the filmmaker names a series of alphabetically ordered kitchen utensils while demonstrating their use. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art)1975. 6 min.  (also on tape )","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5147"">Video/C 5147Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3181"">Video/C 3181Ж","â€¢149;Martha Rosler"
"Vital Statistics of a Citizen, Simply Obtained.","This chilling tape probes the objectification of women in a technological society. At its core is a long, continuous shot that reveals the part-by-part measurement and evaluation of a woman by a white-coated male examiner and a chorus of three women assistants. The filmmaker asks: How do we come to see ourselves as objects? How do fragmentation and comparison assist in social control? The final sequences of this film which explores the socially dictated feminine self-image, presents re-framed government photos of women being measured, accompanied by a voiceover litany of ""crimes against women."" (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 40 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5147"">Video/C 5147Ж","â€¢149;Martha Rosler"
"Have You Heard of the San Francisco Mime Troupe?","Interviews with members of the San Francisco Mime Troupe, a satirical political street theater which began in the 60's, interspersed with footage from the troupe's performances. Producers/directors, Don Lenzer, Fred Wardenburg. 1967 51 min.  (preservation copy)  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3987"">DVD 3987Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7145"">Video/C 7145Ж","â€¢149;San Francisco Mime Troupe"
"San Francisco Mime Troupe.","Taped for an archive of Bay Area theater. Performed by the San Francisco Mime Troupe, the oldest political comedy theater in America. Performers: Wilma Bonet, Dan Chumley, Jesse Moore, Audrey Smith. Director, Joan Holden. 1983. 3/4"" UMATIC. 
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx/sfmime.asx"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+526"">Video/C 526Ж","â€¢149;San Francisco Mime Troupe"
"See also:"
"â€¢149;Elder, Bruce (R. Bruce) ""The Body of Gnostic Energy in the Work of Carolee Schneemann."" In: Body of vision : representations of the body in recent film and poetry / R. Bruce Elder. Waterloo, Ont. : Wilfrid Laurier University Press, c1997. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10147287"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; PFA PN1995.9.B62 E43 1997)","â€¢149;Elder, Bruce (R. Bruce) ""Second Digression: A Mystical View of the Body under the Pervasive Influence of Gnosticism—Laying the Groundwork for Leonard Cohen's Writings on the Body and Carolee Schneemann's Films and Performances."" In: Body of vision : representations of the body in recent film and poetry / R. Bruce Elder. Waterloo, Ont. : Wilfrid Laurier University Press, c1997. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10147287"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; PFA PN1995.9.B62 E43 1997)","â€¢149;Elder, Bruce (R. Bruce) ""The Body Electric: Of Wilhelm Reich and Antonin Artaud—Laying the Groundwork for Carolee Schneemann's Body Art."" In: Body of vision : representations of the body in recent film and poetry / R. Bruce Elder. Waterloo, Ont. : Wilfrid Laurier University Press, c1997. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10147287"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; PFA PN1995.9.B62 E43 1997)","â€¢149;Haug, Kate. ""Femme Experimentale Interviews with Carolee Schneemann, Barbara Hammer, and Chick Strand."" Wide Angle 20.1 (1998) 1-19 Ѭ href=""http://muse.jhu.edu/journals/wide_angle/v020/20.1haug01.html"">Full-text of this article / review is available:Ж","â€¢149;""Carolee Schneemann."" In: Women of vision : histories in feminist film and video / Alexandra Juhasz, editor. Minneapolis : University of Minnesota Press, c2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10194323"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; PFA PN1998.2 .W666 2001)","â€¢149;""Carolee Schneemann."" In: Performance artists talking in the eighties : sex, food, money/fame, ritual/death / compiled by Linda M. Montano. Berkeley : University of California Press, c2000. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10064747"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks NX504 .P465 2000)","â€¢149;Fuchs, Elinor. ""Staging the Obscene Body."" TDR: The Drama Review; Spring1989, Vol. 33 Issue 1, p33-58, 26p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=17218416&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Imaging her erotics : Carolee Schneemann : essays, interviews, projects. Cambridge, Mass. : MIT Press, c2002. (Main (Gardner) Stacks N6537.S3556 I46 2002)","â€¢149;MacDonald, Scott. ""Film and Performance: An Interview with Carolee Schneemann."" Millennium Film Journal, Fall1980/Winter81, Issue 7-9, p95-114, 20p","â€¢149;Stiles, Kristine","""At Last! A Great Woman Artist: Writing About Carolee Schneemann's Epistolary Practice."" In: Singular women : writing the artist / Kristen Frederickson & Sarah E. Webb, editors. Berkeley : University of California Press, c2003. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10058571"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks N72.F45 S55 2003)","â€¢149;Schneemann, Carolee. More than meat joy : complete performance works & selected writings / Carolee Schneemann ; edited by Bruce McPherson. New Paltz, N.Y. : Documentext, 1979. (Art History/Classics Room 308G N6537.S356 .A4 1979; Main (Gardner) Stacks N6537.S356 .A4 1979)","â€¢149;Carolee Schneemann"
"Body Collage","Body Collage is a visceral ""movement-event"" from 1967, in which Schneemann paints her body with wallpaper paste and molasses, and then runs, leaps, falls into and rolls through shreds of white printer's paper, creating a physicalized corporal collage. ""My intention was not simply to collage my body (as an object), but to enact movement so that the collage image would be active, found, not predetermined or posed,"" writes Schneemann. Originally produced as a film on Sept. 12, 1967. 5 min. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1061"">Video/C MM1061Ж","â€¢149;Carolee Schneemann"
"Fuses.","A silent celebration of heterosexual lovemaking. The artist's objective was to make an erotic film, from a woman's point of view, that was not pornographic, as well as to give an equal voice to women's eroticism. 1967. 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM451"">Video/C MM451Ж","â€¢149;Carolee Schneemann"
"Reviews and articles:","â€¢149;MacDonald, Shana. ""Carolee Schneemann's Fuses as erotic self-portraiture."" CineAction - Wntr 2007 i71 p67(5) Ѭ href=""http://galenet.galegroup.com/servlet/IOURL?locID=ucberkeley&ste=6&prod=LitRC&docNum=A163886911"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Carolee Schneemann"
"Meat Joy.","""Meat Joy is an erotic rite -- an excessive, indulgent celebration of flesh as material : raw fish, chicken, sausages, wet paint, transparent plastic, ropes, brushes, paper scrap. Its propulsion is towards the ecstatic -- shifting and turning among tenderness, wildness, precision, abandon; qualities that could at any moment be sensual, comic, joyous, repellent. Physical equivalences are enacted as a psychic imagistic stream, in which the layered elements mesh and gain intensity by the energy complement of the audience. The original performances became notorious and introduced a vision of the sacred erotic."" Converted from original film footage of three 1964 performances of Meat Joy in London, Paris and New York City. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 6 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1060"">Video/C MM1060Ж","â€¢149;Carolee Schneemann"
"Snow","An unedited documentation of the 1967 group performance, which was built out of Schneemann's outrage and sorrows over the atrocities of the Vietnam War. An ethereal stage environment combining colored light panels, film projection, torn collage, hanging sacks of colored water, ""snow"", crusted branches, rope, foil and foam was the set and setting in which an audience-activated electronic switching system controlled elements of the performance/installation. Performed January-February 1967 at the Martinique Theatre, New York. 17 min. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1227"">Video/C MM1227Ж","â€¢149;Carolee Schneemann"
"Souvenir of Lebanon","Combines live color footage of Lebanese and Palestinian villages destroyed by Israeli bombing in 1982-1983, black and white stills of the damage re-shot from newspaper photos, and color slides of peaceful Lebanon from the Lebanese tourist bureau in New York. Souvenir of Lebanon is the video component for the kinetic sculpture War Mop; a flailing motorized mop rises on plexiglass cams and is dropped, slapping the video monitor every eight seconds. The sound on the video recorded layers of reverberation as the mop hit the monitor. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 1983. 6 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1188"">Video/C MM1188Ж","â€¢149;Carolee Schneemann"
"Viet Flakes","Short film without narration composed from a collection of Vietnam atrocity images, compiled over five years, from foreign magazines and newspapers. Schneemann uses the 8mm camera to ""travel"" within the photographs, producing a volatile animation. Broken rhythms and visual fractures are heightened by a sound collage by James Tenney, which features Vietnamese religious chants and secular songs, fragments of Bach, and '60s pop hits. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 1965. 7 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9543"">DVD 9543Ж","â€¢149;Carolee Schneemann"
"About:","Carolee Schneemann","Carolee Schneemann talks about her involvement with the Judson Theater and about her work as a performance artist. Bennington Judson Project; [8] 50 min. 1983. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1736"">Video/C 1736Ж","â€¢149;Carolee Schneemann"
"Reclaiming the Body: Feminist Art in America","Interviewd: Louise Bourgeois, Carolee Schneemann, Kiki Smith, Janine Antoni, Renée Cox, Faith Ringgold, Lynda Benglis, Maureen Connor, Portia Munson, Nancy Spero, Ida Applebroog, Rachel Lachowicz, Jacqueline Hayden, Hannah Wilke, Susan Silas, Penny Arcade, and others. Linda Nochlin, Marcia Tucker. Loosely based on the two-part BAD GIRLS exhibition at The New Museum of Contemporary Art in Manhattan, ""Reclaiming the body"" goes beyond the scope of the exhibition to include other significant contributors to the history of feminist art. The film spans three generations of artists from Louise Bourgeois to Janine Antoni, to give an overview of feminist art from the 1960s to the present. Dist.: Michael Blackwood Productions. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4906"">Video/C 4906Ж","â€¢149;Carolee Schneemann"
"Sphinxes Without Secrets: Women Performance Artists Speak Out","Interviewed: Rachel Rosenthal, Diamanda Galas, Ellie Covan, Lenora Champagne, Robbie McCauley, Diane Torr, Holly Hughes, Ron Ehmke, Mark Russell, Arlene Raven, Martha Wilson, Carolee SchnemannWomen artists discuss performance art and the significant role women have played in it. Includes excerpts from several performances. Featuring: Diamanda Galas, Holly Hughes, Robbie McCauley, Rachel Rosenthal, Laurie Anderson, Annie Sprinkle, Reno, Laurie Carlos, Ann Carlson, Lenora Champagne, Ellie Covan, Dancenoise, Jessica Hagedorn, Jeannie Hutchins, Judith Jackson, Joan Jonas, Lisa Kron, Suzanne Lacy, Scarlot Harlot, Pat Oleszko, Marty Pottenger, Liz Prince, Nancy Reilly, Beatrice Roth, Carolee Schneeman, Louise Smith, Nina Sobell, Dianne Torr, Johanna Went, Martha Wislon ; interviewer, Lenora Champagne. A film by Maria Beatty. c1991. 58 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6374"">DVD X6374Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3275"">Video/C 3275Ж","â€¢149;Carolee Schneemann"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc326"">s/c326Ж","â€¢149;Carolee Schneemann"
"Women of Vision : 18 Histories in Feminist Film and Video","Profiles a variety of women active in independent-feminist film and video, including production, distribution and education, whose work expresses a variety of political and esthetic viewpoints. The three part video begins by profiling 6 women whose careers began in the Fifties and Sixties, then six women whose work coincided with the emergence of the women's movement in the Seventies; and six women whose careers began in the Eighties and Nineties. Contents: Pt. 1. Creating an infrastructure: Carolee Schneemann, Pearl Bowser, Julia Reichert, Margaret Caples, Kate Horsfield, Constance Penley -- pt. 2. Lovers, mothers and mentors: Barbara Hammer, Michelle Citron, Susan Mogul, Juanita Mohammed, Vanalyne Green, Victoria Vesna -- pt. 3. Reassembly required: Carol Leigh, Frances Negron, Yvonne Welbon, Megan Cunningham, Eve Oishi, Valerie Soe. 1998. 83 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6994"">Video/C 6994Ж","â€¢149;Carolee Schneemann"
"Peter Sellars: Exploring the Avant-Garde.","Bill Moyers interviews Sellars as he discusses his controversialcareer as a theatrical producer and his views on the role oftheater in American society. 50 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3467"">Video/C 3467Ж","â€¢149;Peter Sellars"
"Tragedia endogonidia","Trans-European theatre project from the northern Italian company, Societas Raffaello Sanzio, Tragedia endogonidia is a unique work made up of eleven episodes, each of which refers to the city after which it was named. 342 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6748"">DVD X6748Ж","â€¢149;Societas Raffaello Sanzio"
