"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"The Sky Below","A contentemporary portrait of the fallout from the 1947 Partition of India which resulted in the creation of Pakistan. Features voices from both sides of the border; while exploring ancient and historic sites - along with music - from Kutch to Kashmir and Karachi to the Khyber Pass. Filmed by Sarah Singh. c2007. 77 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5812"">DVD X5812Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Slowly But Surely: The Story of the Women of Kotra","Presents a tribal community's struggle for control and collective management of its natural resources in Kotra, India. 1995. 30 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8917"">Video/C 8917Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Slum Futures.(Life; 4)","Visits the slums of Bombay, now known as Mumbai. Mumbai is India's financial capital, but the city has massive, sprawling slums, which rank among the biggest in the world. This film examines the reality of living in the slums and the various projects attempting to rehabilitate Mumbai's slums. Globally one in six people now live in slums. If no attempts are made to address the problem, at the current rate of growth UN-Habitat predicts that by 2030, one in every three people in the world could be living in a slum. Directed by Alex Gabbay, Subina Shrestha. 2004. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3978"">DVD 3978Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/l4slum.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Smarana: Remembering Lost Children--","This documentary is a visual presentation of the agony of mothers whose children lost their lives in armed struggle inspired by Naxalbari. Here, mothers share the rememberances of their children, the vaccum created by their loss, and the efforts to keep up their memory. 200? 31 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9668"">DVD 9668Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"So Far From India.","Directed by Mira Nair. Describes the experiences of a recently arrived Indian immigrant in America, contrasting them with the traditional world of his new bride whom he left behind in India. Seeks to explore the conflicts that arise when Indian culture meets American society. 1982. 49 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2169"">Video/C 2169Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://filmakers.com/indivs/SoFarfromIndia.htm"">Filmakers Library catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Something Like a War.","Presents the dilemma of population pressure in India, where the official policy of population control clashes with the cultural values surrounding childbirth. 1993. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3357"">Video/C 3357Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Song of Ceylon.","This remarkable film in which a narrator recounts the exorcism of a young Sri Lankan woman, is a provactive treatise on hysteria and performance. 1985. 51 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4650"">Video/C 4650Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Sons of Shiva.","Shows how the Bengalis in the town of Vishnupur celebrate the annual ritual of Gajan in honor of Lord Shiva, during which the participants renounce the concerns of daily life in order to devote themselves entirely to the service of God. A film by Robert Gardner. Originally produced in 1985. 29 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5515"">DVD 5515Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7622"">Video/C 7622Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Sorrow and Agony (Sabaika lagi manava adhikara)","Relates the killing of innocent people by security forces and Maoists in Nepal. Based on true case studies of three individuals of the Bara District. 2005. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X74"">DVD X74Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"South Asia: Aspiring India. (Power of Place: World Regional Geography; 21-22)","Prog. 21. Urban and rural contrasts: Delhi, bursting at the seams. Dikhatpura, help through irrigation. A telecourse designed to build understanding of geography by examining eleven regions of the world and their interconnections. Each program contains case studies which characterize an individual region. In Delhi, Bursting at the Seams a geographer studies Delhi as a multicultural, rapidly growing city. Dikhatpura, Help Through Irrigation explores the lives of farmers reliant on irrigation in Southwestern India. 1995. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4322"">Video/C 4322Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Splendour of the Moghuls. (Series, 1986)
","â€¢149;Part 1: In the Gardens of Delight. For devotees of Islam, paradise is said to be a celestial garden. Who created the marvelous earthly gardens of Kashmir, which stand to this day as a living symbol of the Muslim faith? This program tells the story of the Mogul empire in India, from the victory of Babur at Panipat through the reign of the syncretic-minded Akbar, who dreamed of integrating Islam and Hinduism. The intricately designed gardens of Kashmir, with their emblematic plantings and waterways, and the remarkable Hindu/Islamic architecture of Fatapur Sikri are featured. 44 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7830"">Video/C 7830Ж","â€¢149;Part 2: The Taj Mahal: A Love Story. This program covers the period of Mogul history during the reign of Shah Jahan, which marked the culture's peak of refinement. The construction and symbolism of the Taj Mahal are attentively described as well as the legendary romance between Shah Jahan and his favorite queen Mumtaz Mahal. Artisans at work demonstrate age-old methods of painting and stone-cutting, while a visit to the immense tombs of Humayun and Akbar set the Taj in the Mogul funerary tradition of sublimating death through architectural beauty. 43 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7831"">Video/C 7831Ж","â€¢149;Part 3: Women and Warriors. What was life like for the upper classes of Mogul society? This program appraises the status of empresses, harem favorites, and the Rajput warriors in the Mogul Empire over the course of its history. Details of life on the throne, in the boudoir and in the army's elite forces illustrate a culture both opulent and narcissistic. Prestige is also reflected by the grandeur of the Red Fort at Agra and the Palace of the Winds, the Amber Fort, and the modernistic, sculpture-like Jantar Mantar astronomical observatory in Jaipur. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7832"">Video/C 7832Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Staying Alive! (Life; 4)","Poverty combined with lack of education and health services affect maternal mortality rates in Bangladesh, where 50 women die during pregnancy or in childbirth every day. In the Millennium development goals, 189 countries have made committments to reduce maternal mortality by 75% by 2015. Will Bangladesh be able to deliver on its promises? Directed & produced by Subina Shrestha, Alex Gabbay. 2005. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3957"">DVD 3957Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/l4stay.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Stories My Country Told Me: with Eqbal Ahmad","Eqbal Ahmad, a leading authority on colonialism and nationalism, travels Pakistan's and India's Grand Trunk Road from Calcutta to Lahoue, commenting on the history and politics of the subcontinent. Having personally experienced, as a child, the partition into India and Pakistan, he speaks movingly of the evil effects of nationalism and sectarian hatred. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2000. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7036"">Video/C 7036Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Stream Within: Women from the Indian Freedom Struggle (Bheetar bahe mukti dhara)","A documentary about ordinary women who were active in the Indian National Congress, one of the main bodies leading the anti-imperialist nationalist movement in British-ruled India. Mahatma Gandhi became one of its main ideologues in the crucial period from 1919 to 1947. Extensively uses interviews with women, interspersed with black and white stills, and covers mainly events from 1928 until the 1942 Quit India agitation. PAL format. [199-?] 50 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8047"">Video/C 8047Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Subhash Mukhopadhyay","Documentary on the life and work of the eminent Bengali poet, Subhash Mukhopadhyay. Includes Mukhopadhyay reading from his works and an interview with the poet. PAL format. 2001. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9415"">Video/C 9415Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Sudesha. (As Women See It)","The ""Chipko"" movement was founded in India by peasant women who recognized the economic consequences of deforestation of their regions and was one of the first environmental movements in the Third World. This is an account of ""Sudesha,"" a woman who lives in the foothills of the Himalayas, who organized the women of her village to save the forests, thereby challenging the rules of Indian society and women's traditional roles. 1983. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4170"">Video/C 4170Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Surpanakha (or the Amorous Demoness): A Kutiyattam Dance Drama of Kerala State, South India.","A Dramatic adaptation of the 2nd act of a 10th century Sanskrit play, the Crest Jewel, in which the sister of Ravana falls in love with Rama. When he rejects her she turns to his brother who also rejects her. Enraged she attacks Rama and his wife, Sita, but Rama's brother intervenes to cut off her nose and ears. She appeals to her brothers for revenge instigating the war between Rama and Ravana. 1976. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4046"">Video/C 4046Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Swedganga","A presentation on the life and works of the Marathi author, Govind Vinayak Karandikar, b. 1918. 1998. 60 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6957"">Video/C 6957Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Takazhi","A presentation on the life and works of the Malayalam novelist, Takali Sivasankarapilla, b. 1912. 1998. 60 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6956"">Video/C 6956Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tales of Pabuji: A Rajasthani Tradition.","A documentary of an ancient storytelling tradition which is still ongoing in northwestern India. It tells the epic of Lord Pabuji whose exploits have been recounted for over 600 years in the state of Rajasthan. The storyteller or Bhopo stands in front of an immense brilliantly painted muralcalled a pard, containing all the characters and events of the legend. He plays on his homemade fiddle, dances, and chants episodes of the epic to his village audience. 1996. 32 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4787"">Video/C 4787Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Talim-E-Baleghan.","A satirical play concerning adult education in Pakistan. Includes an interview with Khawaja Moinuddin. Performer: Khawaja Moinuddin. In Urdu. 1988. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3917"">Video/C 3917Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tanda: A Document on the Denotified Tribes in Maharashtra.","Looks at the social history of India to examine the process by which many disparate nomadic tribes were labelled as ""criminal"", and attempts to establish the fact that even after independence, the status of these tribes has not substantially changed as they still struggle for basic human rights. 199? PAL format. 1990. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4896"">Video/C 4896Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tangail Tornado, 13th May, 1996.","A documentary examining the social and economic impact of a tornado that ripped through 80 villages of the Tangail district of Bangladesh in May, 1996. PAL format. In Bengali and English. 1997. 14 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6175"">Video/C 6175Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tarashankar Bandyopadhyay: A Profile","Documentary film on the life and work of the eminent 20th century Bengali author Tarasankara Bandyopadhyaya. 2001. 30 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9513"">Video/C 9513Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tea Fortunes. (Commodities; 3)","Documents the history of the tea industry in China, India, Sri Lanka, and East Africa. Profiling Sir Thomas Lipton, it shows how he and his competitors controlled every stage of tea manufacture, from planting to blending, packaging to retailing. Today India controls its exports of tea, Sri Lanka has nationalized its tea estates, Zimbabwe's state-run plantations generate some cash in rural areas while women in China work for some of the lowest wages in the world producing tea for western blends. 1986. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3496"">Video/C 3496Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://icarusfilms.com/cat97/a-e/comm_tea.html"">Icarus Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Teesri Manzil.","In Urdu. A romance set in Pakistan. 1987. 164 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3916"">Video/C 3916Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Thar: Secrets of the Desert.","Consider the Indira Gandhi Canal, cutting through the Thar Desert from Ganganagar to Jaisalmer. Isn't it the perfect symbol of development? Yes, but it has brought malaria to the region. This video highlights this contradiction by looking at the times, and practices, when a rich culture and trade flourished in Rajasthan, the world's most populous desert. It shows how humans, animals and nature fused into a lifeworld that took care of needs without damaging the environment. 1995. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5659"">Video/C 5659Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"That's Why I'm Working","Families living in the slums of Dacca, Bangladesh are so poor that any income, even the pittance paid to child workers, is necessary for survival. Since today's child laborers are tomorrow's uneducated adults, the Bangladesh Rural Advancement Committee (BRAC) started a 3-year primary course for Dacca's disadvantaged in 1996. The small schools with a 3-hour school day, are free and provide a first step away from the vicious cycle of poverty. c1999. 53 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7900"">Video/C 7900Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"There is a Fire in Your Forest","A photojournalist, Sanjay Sharma (played by Sanjay Upadhyay), travels to the Kanha Tiger Reserve in India. He follows the tribes of the Adivasis as they struggle to maintain their traditional ways in the face of a changing India. As they try to farm closer and closer to the Reserve the protected animals increasingly leave the Reserve to feed on the crops of the tribes. Direction, Krishnendu Bose. 2001. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM863"">Video/C MM863Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"There'll Always Be Stars in the Sky: The Indian Film Music Phenomenon.","Takes you behind the scenes of India's Hollywood to meet actors, singers, musical directors and others. 1992. 60 min. ; also on VHS ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1753"">DVD 1753Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3265"">Video/C 3265Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"330 Million Gods.","Visits the various sites in India and observes the performance of several types of religious ceremonies. Explores the Hindu approach to God and the complexity of the Hindu religious experience. 1977. 55 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+191"">Video/C 191Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ticket to Development.","Examines several projects taking place in the ever-increasing exchange of technical expertise among developing countries. Projects shown are in Costa Rica, Kenya and India. 1990. 26 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM790"">Video/C MM790Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Tulsi Das [a Vaishnava poet].","A moving presentation on the life of Tulasidasa, a late Vaishnava saint whose poems in the vernacular rather than the traditional Sanskrit gained him audience even at the court of the muslim king of his time. c1992. 120 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6950"">Video/C 6950Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Unheard Voices of India","Several short interviews (about 1 min. each) with people from all over India, young and old, or all religions and walks of life. They are asked about their lives, whether they are happy, and what they'd like to change in their country. 2003. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7317"">DVD 7317Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Untouchable? (Life, Part 18)","This segment of the series on globalization, 'Life,' examines the lives of dalits in a small village in southern India. Identified as outcasts or 'untouchables' whole families of dalit people exist in India effectively as bonded or slave laborers. There are an estimated 100 million child laborers in India. Human rights organizations are now taking up the dalits' cause and calling for the end of a system of discrimination as heinous as the former apartheid system in South Africa. c2000. 24 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7778"">Video/C 7778Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/lsu.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Untouchable: Life as an Outcaste","Director, Jens Pedersen. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2006. 28 min. each installment.","â€¢149;The Worst Job on Earth: The Bhangis of India. This program introduces viewers to two Dalit families who, for generations, have cleaned the excrement from their villages' open-air latrines with their bare hands. But flush-toilets don't necessarily free untouchables from their role; a young man who manually removes waste from the sewers of Hyderabad is also interviewed, along with Bezawada Wilson-- hereditary latrine cleaner-- turned-activist determined to free all Bhangis from what is arguably the worst job in the world. Wilson interjects a lone ray of hope into what is otherwise a depiction of a singularly bleak way of life. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9193"">DVD 9193Ж","â€¢149;Born into Prostitution: The Badis of Nepal A daughter of a Badi prostitute is required to be registered under the surname Nepali. So marked from birth, she is born into prostitution and is expected to follow her mother into that trade-- unless the family, the Dalit community, or charitable NGOs are moved to help them make a change. This program profiles two Badi families and the positive efforts of one former prostitute and the director of Social Awareness for Education to assist them. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9194"">DVD 9194Ж","â€¢149;Married to a Goddess: Joginis of India In southern India, Yellamma is the goddess of the untouchables, and the joginis are typically Dalit girls dedicated to their service-- and to the servicing of local men. After describing the sacred side of jogini life, this program explores the dark side: prostitution and rape. Interviews with joginis illustrate that although their abuse has been formally abolished, little has changed. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9195"">DVD 9195Ж","â€¢149;Between a Rock and a Hard Place: The Debt Slaves of Nepal. n parts of Nepal, there is little paying work available to untouchables. Forced to borrow small sums just to survive, they quickly become debt slaves to higher caste people and although the practice is illegal, it all too often represents the only chance Dalits have to obtain food. This program constrasts the lives of Bharat, who seeks emancipation, and Ganga, who can picture no other future for himself. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9196"">DVD 9196Ж","â€¢149;Hindu vs. Hindu: Caste Violence in India. Every year, thousands die in India through caste-related violence, as untouchables and upper-castes alike stoop as low as they need to go to gain their aims. Seen through the lens of a veteran photojournalist, this program looks at both sides of the struggle between the upper-caste Ranvir militia and Dalit supporters of the Marxist-Leninists in Bihar. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9197"">DVD 9197Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Urban Poverty in Bangladesh: Improving Slum Life","Driven by poverty and scarcity, many of Bangladesh's landless agricultural laborers migrate to urban centers in search of a better life, but find themselves residing in congested city slums. This film documents the slums in Dhaka and the innovative slum improvement project in Dinajpur. 1996. 11 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM427"">Video/C MM427Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Utthan (The Dawn)","Documentary on agricultural and economic development projects in India to assist the rural poor in Vansda Taluk in Gujarat. PAL format. 1999. 32 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7941"">Video/C 7941Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"V. S. Naipaul","The award-winning novelist V. S. Naipaul explores the relationship between a writer and his work, offering insights into his life, his career and his subtly incisive novel/memoir The enigma of arrival. In particular, he contrasts the inspiration of living in the English countryside with the Caribbean, Indian, and African influences that dominate his earlier writings. Excerpts from Miguel Street, A house for Mr. Biswas, and other books -- read by actor Roshan Seth and by Naipaul himself -- round out this engaging interview. 1988. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7038"">Video/C 7038Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Valmiki.","The Hindu legend of the transformation of Valmiki, the author of the Ramayana, from bandit to saint. He grew up among thieves and became a lusty dacoit known as Raksha, who was enamored by the beautiful Tara. She wants diamonds ... specifically the gems which garland the neck of a famous deity of Mahalaksmi, but as the story unfolds, Narada Muni must descend to enlighten the future author. 1996. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6946"">Video/C 6946Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Vardan (The Boon)","Documentary on the development of agroforestry to provide economic viability for the rural poor of India. PAL format. 1999. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7940"">Video/C 7940Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Village Man, City Man.","A documentary on the life of a young millworker in an industrial section of Delhi. Follows him on a return visit to his village in Uttar Pradesh. Shows changes and continuities in his life by conversations with his friends at the mill and by observations of how he works and spends his leisure time in both city and village. 1990. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3774"">Video/C 3774Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Village Republic (Wealth of Nations. People and the Environment)","Empowerment begins in the village; some small--and huge-- success stories from India make sustainable development a reality. Taken together, they constitute a powerful critique of ""thinking big"". This video puts these endeavours together: Sukhomajri in Haryana, seed in Rajastan, Ralegan Siddhi in Maharashtra, and Kesharpur village in Orissa. All those who ""thought"" small and put their heads, and resources, together to help each other. 1995. PAL format 48 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5661"">Video/C 5661Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"A Vision Unveiled","Features the life and work of the Pakistani development activist and social scientist Akhtar Hameed Khan who is credited wirh pioneering microcredit and microfinance initiatives, farmers' cooperatives, and rural training programmes in the developing world. He promoted participatory rural development in Pakistan and other developing countries, and widely advocated community participation in development. 2009. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2360"">DVD X2360Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Voices of the Morning.","A meditation on women's roles as defined by orthodox Islamic laws. It is one of the first productions by a rising wave of South Asian women visual artists. Examines familial and societal restrictions placed on South Asian women. 1992. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2786"">Video/C 2786Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.183&section=1.4"">Description from Center for Asian American Media catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Full-text review from:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/VoicesoftheMorning.html"">ABC-CLIO Video Rating Guide for LibrariesЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Voices of the People","Discusses events leading to the state of emergency and subsequent election of a new government in 1977 in India. 1990. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4265"">Video/C 4265Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
