"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"Related web sites:","â€¢149;Ѭ href=""http://www.frif.com/new2006/sac.html"">Description from First Run Icarus catalogЖ","U.S. History"
"Savage Acts","Using political cartoons, animations, documentary film and excerpts from diaries, examines American imperialism, expansionist policies and wars at the beginning of the 20th century. Special focus on the American annexation of the Philippine Islands and racial attitudes portrayed in the World's Fairs of 1893, 1901 and 1904. 1995. 30 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2337"">DVD X2337Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4129"">Video/C 4129Ж","U.S. History"
"Scandalize My Name: Stories from the Blacklist","A compelling look at a terribly troubled period in American history, the 1950's -- a time of blacklists, loyalty oaths and slandered reputations, the ""Red Scare"". These are the stories of African-Americans, like Paul Robeson, Hazel Scott, Jackie Robinson, and Harry Belafonte, whose loyalties were questioned, whose careers were shattered, and whose struggles for social justice were subverted. 1999. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7895"">Video/C 7895Ж","U.S. History"
"Seeing Red: Stories of American Communists","A documentary about the history of the American Communist Party from the thirties onward. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2931"">Video/C 2931Ж","U.S. History"
"Seguin.","A docu-drama based on the life of one of Texas' unsung heroes, Juan Nepomunceno Seguin, a leader in San Antonio who raised an army to fight the Mexican forces of Santa Ana at the Alamo. Written and directed by Jesus Salvador Trevino. Performers: A. Martinez, Henry Darrow, Rose Portillo, Pepe Serna, Danny De La Paz, Enrique Castillo, Lupe Ontiveros, Edward James Olmos. 68 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5133"">Video/C 5133Ж","U.S. History"
"""Sins of Our Mothers"": The Story of Emeline.(American Experience)","Covers the story of Emeline Gurney of Fayette Maine through the use of hearsay, legend, etc. to explore the strengths and weaknesses of a community. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1535"">Video/C 1535Ж","U.S. History"
"Songs for Political Action [SOUND RECORDING]","Disc one, The leftist roots of the folk revival. Disc two, Theatre and cabaret performers, 1936-1941.  -79Ѭ href=""http://sunsite2.berkeley.edu:8000"">See Pathfinder for contents listingЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FD+75"">Sound/D 75Ж","U.S. History"
"This Bloody, Blundering Business; or, The Price of Empire.","Traces the history of American intervention in the Philippines following the Spanish-American War until 1946, concentrating on the Insurrection of 1898-1901 and the period immediately following. Reveals the nature of American attitudes toward Third World peoples and cultures--from the racist brutality abroad to bitter controversy at home. Utilizing still photographs, early newsreels and the reporting of war correspondents, the filmmaker offers insights into the parallels of that period with contemporary American foreign policy. 1975. 30 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6080"">Video/C 6080Ж","U.S. History"
"Timeline 1937","Radio broadcasts of a tribute to George Gershwin, the Hindenburg disaster, a speech by Supreme Court Justice Hugo Black regarding his membership in the Ku Klux Klan, a speech by Roosevelt warning of a coming world war. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1108"">DVD 1108Ж","U.S. History"
"Timeline 1938","News of Europe, Prime Minister Neville Chamberlin ""never to go to war ... again, Hitler moves on Czechoslovakia, Winston Churchill ""We must arm,"" BBC radio broadcast to the U.S. The Mercury Theater presents ""The 39 Steps"" (dress rehearsal), starring Orson Welles, Agnes Moorhead. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1109"">DVD 1109Ж","U.S. History"
"Timeline 1939","News of Europe, Neville Chamberlain ""This country is at war with Germany,"" news broadcast from Wash. D.C., Winston Churchill ""First month of the war. Audio section The Lux Radio Theater presents ""It happened one night,"" starring Clark Gable, Claudette Colbert, etc., with host Cecil B. DeMille. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1110"">DVD 1110Ж","U.S. History"
"Timeline 1940","Radio broadcasts of speeches by Winston Churchill (5/19/40), H. V. Kaltenborn (5/19/40), Winston Churchill (6/18/40), William L. Shirer/William C. Kerker (6/22/40), News bulletin (8/4/40), Winston Churchill (8/20/40), King George VI on England's war effort (9/23/40), Edward R. Murrow (9/24/40), H.G. Wells meets Orson Welles (10/28/40), President Roosevelt (10/29/40). ""My client Curley,"" starring Everett Sloan, Kingsley Colton, and Jeanette Nolan. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1111"">DVD 1111Ж","U.S. History"
"Timeline 1941","Winston Churchill ""Give us the tools..., Winston Churchill ""Hitler attacked and invaded Russia,"" Charles Lindbergh ""This is not our fight,"" President Roosevelt ""a date which will live in infamy."". The Lux Radio Theater presents ""Buck Privates,"" starring Bud Abbott and Lou Costello. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1112"">DVD 1112Ж","U.S. History"
"Timeline 1942","Radio broadcasts of the invasion of North Africa by the Allies, Winston Churchill's ""The end of the beginning,"" datelines from around the globe (2), Gabriel Heater remembers Pearl Harbor one year later, and more. ""Cromer"", by Norman Corwin, starring Joseph Julian, Frank Lovejoy. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1113"">DVD 1113Ж","U.S. History"
"Timeline 1943","Radio broadcasts of Datelines from around the world (3), ""Japan's admiral in the Pacific, "" Hitler's elite SS Corp.,"" feature commentary ""Hitler's birthday."" ""Transatlantic Call"", Midwest: Breadbasket and Arsenal, featuring Wendell Wilkie, Carl Sandburg, George Cushing, Lambert Kaiman, Lawson Deming. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1114"">DVD 1114Ж","U.S. History"
"Timeline 1944","Radio broadcasts of Roosevelt's fireside chat on the libration of Rome, first planes leaving England on D-Day, Eisenhower's speech to the D-Day landing forces, Operation Market Garden, Thomas Dewey's election eve speech, Winston Churchill's ""The fruits of 1944"" and ""America's Thanksgiving."" ""The long name none could spell,"" narrated by Martin Gabel. 193 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1115"">DVD 1115Ж","U.S. History"
"Timeline 1945","Radio broadcasts, Battle of the Bulge, Iwo Jima flag raising, Allies crossing the Rhine, Death of Franklin D. Roosevelt, News of Hitler's death, V-E announcement and celebration in Times Square, Winston Churchill's ""Call for unconditional surrender"" and ""This is your victory,"" Truman signing the UN charter, news report of A-Bomb dropping on Hiroshima, Truman announcing A-Bomb dropping on Hiroshima, Japan considering surrender terms, Japanese surrender. ""On a note of triumph"", written, produced, and directed by Norman Corwin. 2 ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1116"">DVD 1116Ж","U.S. History"
"Timeline 1948","Low turnout for Truman's speech in Iowa, The Soviets interfere with the Berlin Airlift and other news events of 1948. Audio section Lux Radio Theater presents ""Notorious"" (January 26, 1948) starring Ingrid Bergman, Joseph Cotten and Joseph Kearns. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1117"">DVD 1117Ж","U.S. History"
"Timeline 1951","Edward R. Murrow presents Korean War news, Truman fires MacArthur news bulletin, Gen. Douglas MacArthur's speech ""Old soldiers never die..., "" Bobby Thomson of the New York Giants ""The shot heard round the world,"" and more. Windows on the world, produced by Norman Corwin featuring Douglas Fairbanks Jr. 201 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1118"">DVD 1118Ж","U.S. History"
"Timeline 1952","Edward R. Murrow: 1952 election news - VP Richard Nixon ""Checkers speech"" - Democratic nominee Adlai Stevenson campaign speech -- News bulletin Ike's acceptance speech. The Hardy family ""Andy's new job"" starring Mickey Rooney, Lewis Stone and Fay Holden. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2002"">DVD 2002Ж","U.S. History"
"Timeline 1959","First astronauts are chosen, Pioneer IV is launched, Buddy Holly, Ritichie Valens and the Big Bopper die in an aircrash, Congress votes statehood for Hawaii, the ""Kitchen debate"" between Nixon and Krushchev. Suspense presents ""Moonlight Sail"" (December 27, 1959) starring Frank Thomas, Jr. and Louis Van Rooten. 171 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1119"">DVD 1119Ж","U.S. History"
"Timeline 1961","President Eisenhower's farewell speech, John F. Kennedy's Peace Corps, The Bay of Pigs invasion denounced by the United Nations, FCC quoted as saying ""Television is just a vast wasteland,"" Alan Shepard's flight, Gus Grissom loses his space capsule, the birth of the Berlin Wall. The Adventures of Sherlock Holmes starring Carlton Hobbs and Norman Shelley. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2003"">DVD 2003Ж","U.S. History"
"Timeline 1962","John Glenn speaks to the world, Adolf Eichmann hanged, Telstar satellite, the death of Marilyn Monroe, Pres. Kennedy speaks on the Cuban Missile Crisis, Adlai Stevenson's speech at the U.N. regarding Cuba, Cuban Missile Crisis as it unfolded (Oct. 21-Nov.3, 20 min.), Richard Nixon concession speech, author John Steinbeck wins Nobel prize. Suspense presents ""2464"" starring Lawson Zerbe and Bob Dryden. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1120"">DVD 1120Ж","U.S. History"
"Transcontinental Railroad","Go behind-the-scenes of one of the greatest engineering feats of the 19th century: the building of a transcontinental railroad across the United States. Completed in six years by entrepreneurs, brilliant engineers, and legions of dedicated workers this remarkable story of greed, innovation and gritty determination reveals both why the railroad was built and how it would shape the nation, while shedding light on the politics and culture of mid-nineteenth century America. 2006. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5632"">DVD 5632Ж","U.S. History"
"The Twenties. (A Walk Through the 20th Century with Bill Moyers)","Usually seen as an age of speakeasies, flappers and high living, the 1920's also saw millions of workers struggling for better wages. This program explores this decade when old America was vanishing and a new urban nation was being formed. Includes reminiscences of Americans who lived during this period. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+807"">Video/C 807Ж","U.S. History"
"The Un-Americans","Between 1945 and the early 50's the lives of thousands of ordinary citizens were destroyed because they were accused of un-American activities. Teachers, writers, anyone who expressed a liberal opinion could be accused. In this film both the anti-Communists and the victims of the notorious McCarthy witchhunts talk candidly about the era of anti-Communist hysteria and blacklists. Among them we meet men and women who did join the Communist Party out of idealism and in reaction to injustices in American society and lawyer Arthur Kinoy who recalls his efforts to stay the execution of the Rosenbergs, which marked the culmination of the hysteria. 1992. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X8637"">DVD X8637Ж","U.S. History"
"U.S. Mexican War, 1846-1848.","This two-part documentary tells the story of the U.S. Mexican War in which Mexico lost almost half of its national territory to the United States.
In the first segment Mexico is suffering the aftermath of its 1820s war for independence from Spain while to the north the U.S. is expanding its territory. Tensions mount when Texas breaks free from Mexico in 1836 and is later annexed by the U.S. In 1846, U.S. and Mexican troops clash over a border dispute in Texas and war explodes. President Polk orders the U.S. Army and Navy to conquer the Mexican territories of New Mexico and California. When Mexico refuses to surrender, Polk turns his attention to Mexico City.
In the second segment former Mexican President General Antonio Lopez de Santa Anna returns from exile to unite Mexico against the U.S. invasion. President Polk decides to open a second front against Mexico and strike deep into Mexico's heartland. Santa Anna is unable to turn back the invaders and a dramatic battle for Mexico City ends when the capital finally surrenders on September 14, 1847. A few months later, the Treaty of Guadalupe Hidalgo is signed, ceding all of the states of the present American Southwest to the United States. 1998. 120 min. each part.   (part I)  (part II)
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X603"">DVD X603Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5675"">Video/C 5675Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5676"">Video/C 5676Ж","U.S. History"
